"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Norway (NO)","10.09.2024 03:00 - 10.09.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","135","n/e","n/e","n/e","n/e","n/e","1","","3823","7019","n/e","n/e","0","55","0","27","n/e","1099"
"Norway (NO)","10.09.2024 04:00 - 10.09.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","138","n/e","n/e","n/e","n/e","n/e","1","","3789","6759","n/e","n/e","0","25","0","29","n/e","934"
"Norway (NO)","10.09.2024 05:00 - 10.09.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","141","n/e","n/e","n/e","n/e","n/e","1","","3791","6504","n/e","n/e","0","25","0","33","n/e","1053"
"Norway (NO)","10.09.2024 06:00 - 10.09.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","140","n/e","n/e","n/e","n/e","n/e","1","","3808","7394","n/e","n/e","0","25","0","35","n/e","1260"
"Norway (NO)","10.09.2024 07:00 - 10.09.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","146","n/e","n/e","n/e","n/e","n/e","1","","3850","8924","n/e","n/e","0","25","0","30","n/e","1536"
"Norway (NO)","10.09.2024 08:00 - 10.09.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","142","n/e","n/e","n/e","n/e","n/e","1","","3859","9487","n/e","n/e","0","25","0","31","n/e","1424"
"Norway (NO)","10.09.2024 09:00 - 10.09.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","140","n/e","n/e","n/e","n/e","n/e","1","","3853","9248","n/e","n/e","0","25","1","31","n/e","1461"
"Norway (NO)","10.09.2024 10:00 - 10.09.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","142","n/e","n/e","n/e","n/e","n/e","1","","3872","8416","n/e","n/e","0","41","1","32","n/e","1611"
"Norway (NO)","10.09.2024 11:00 - 10.09.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","143","n/e","n/e","n/e","n/e","n/e","1","","3846","7187","n/e","n/e","0","41","4","31","n/e","1813"
"Norway (NO)","10.09.2024 12:00 - 10.09.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","147","n/e","n/e","n/e","n/e","n/e","1","","3783","6314","n/e","n/e","0","44","6","32","n/e","2000"
"Norway (NO)","10.09.2024 13:00 - 10.09.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","143","n/e","n/e","n/e","n/e","n/e","1","","3749","6095","n/e","n/e","0","46","5","32","n/e","2042"
"Norway (NO)","10.09.2024 14:00 - 10.09.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","137","n/e","n/e","n/e","n/e","n/e","1","","3776","6099","n/e","n/e","0","43","1","33","n/e","1999"
"Norway (NO)","10.09.2024 15:00 - 10.09.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","148","n/e","n/e","n/e","n/e","n/e","1","","3854","6690","n/e","n/e","0","49","2","32","n/e","1899"
"Norway (NO)","10.09.2024 16:00 - 10.09.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","147","n/e","n/e","n/e","n/e","n/e","1","","3924","7570","n/e","n/e","0","47","2","29","n/e","1971"
"Norway (NO)","10.09.2024 17:00 - 10.09.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","147","n/e","n/e","n/e","n/e","n/e","3","","3985","8053","n/e","n/e","0","47","0","32","n/e","2201"
"Norway (NO)","10.09.2024 18:00 - 10.09.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","148","n/e","n/e","n/e","n/e","n/e","26","","4039","9093","n/e","n/e","0","47","0","31","n/e","2308"
"Norway (NO)","10.09.2024 19:00 - 10.09.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","152","n/e","n/e","n/e","n/e","n/e","25","","4046","9255","n/e","n/e","0","53","0","28","n/e","2435"
"Norway (NO)","10.09.2024 20:00 - 10.09.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","151","n/e","n/e","n/e","n/e","n/e","25","","4041","8678","n/e","n/e","0","51","0","27","n/e","2645"
"Norway (NO)","10.09.2024 21:00 - 10.09.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","139","n/e","n/e","n/e","n/e","n/e","26","","4032","8336","n/e","n/e","0","43","0","27","n/e","2721"
"Norway (NO)","10.09.2024 22:00 - 10.09.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","138","n/e","n/e","n/e","n/e","n/e","26","","4025","8055","n/e","n/e","0","45","0","26","n/e","2412"
"Norway (NO)","10.09.2024 23:00 - 11.09.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","141","n/e","n/e","n/e","n/e","n/e","26","","4033","7845","n/e","n/e","0","49","0","27","n/e","2331"
"Norway (NO)","11.09.2024 00:00 - 11.09.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","143","n/e","n/e","n/e","n/e","n/e","25","","3983","7252","n/e","n/e","0","32","0","27","n/e","2785"
"Norway (NO)","11.09.2024 01:00 - 11.09.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","154","n/e","n/e","n/e","n/e","n/e","21","","3968","6899","n/e","n/e","0","34","0","30","n/e","2719"
"Norway (NO)","11.09.2024 02:00 - 11.09.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","137","n/e","n/e","n/e","n/e","n/e","20","","3999","6522","n/e","n/e","0","46","0","30","n/e","2337"
"Norway (NO)","11.09.2024 03:00 - 11.09.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","137","n/e","n/e","n/e","n/e","n/e","21","","3993","6730","n/e","n/e","0","49","0","27","n/e","2390"
"Norway (NO)","11.09.2024 04:00 - 11.09.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","135","n/e","n/e","n/e","n/e","n/e","20","","3960","6725","n/e","n/e","0","45","0","27","n/e","2165"
